NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Howard County, Texas",48227,Texas,.2635202,n/a*,.16,.1699455,.1272609,.2185711,1097,n/a*,n/a*,.5134942,73064,52214,86547
"Bradford County, Florida",12007,Florida,.2629583,n/a**,.2640306,.1127733,.1095256,.1251022,997,n/a**,1002,.2645971,57585,38499,61888
"Pike County, Missouri",29163,Missouri,.262931,n/a**,.2634989,.091105,.0870618,.1345876,866,n/a**,866,.1194256,60711,73627,59712
"Vance County, North Carolina",37181,North Carolina,.2627183,.2800718,n/a*,.107759,.0946831,.1163088,893,935,n/a*,.603858,56810,49637,66432
"Greensville County, Virginia",51081,Virginia,.2626728,.2874252,n/a**,.10541,.0482549,.1434633,636,n/a*,n/a**,.636269,57215,51118,63838
"Maverick County, Texas",48323,Texas,.2626518,.2763615,n/a**,.3110141,.2942019,.3114293,1525,1526,n/a**,.9750404,53367,52239,87846
"Wilkinson County, Georgia",13319,Georgia,.2626263,.2321429,.2564103,.097591,.0981244,.0968912,1335,n/a*,n/a*,.4329634,53601,44675,59428
"Swisher County, Texas",48437,Texas,.2625,n/a**,n/a*,.2015332,.0661562,.3271745,1400,n/a**,n/a*,.5382131,54469,40893,64740
"Marion County, West Virginia",54049,West Virginia,.2623923,n/a**,.2624114,.0516262,.0519144,.0480929,495,n/a**,505,.0751841,64299,46386,65383
"Limestone County, Texas",48293,Texas,.2621871,n/a*,.2339833,.1898605,.1643546,.226156,694,n/a*,814,.4134603,59351,46383,66102
"Rowan County, Kentucky",21205,Kentucky,.2621776,n/a**,.2614942,.0533993,.0480564,.1480339,397,n/a**,397,.0548415,56144,49040,56450
"McDowell County, North Carolina",37111,North Carolina,.2619739,n/a**,.2621641,.1153447,.0972229,.2489611,830,n/a**,830,.1262299,59567,54298,60096
"Ware County, Georgia",13299,Georgia,.2618834,n/a**,.2450832,.1630667,.1445938,.1980138,744,n/a**,685,.3665327,52895,38708,59370
"Stewart County, Georgia",13259,Georgia,.2614379,.2614379,n/a**,.1629503,.1264368,.1801153,n/a*,n/a*,n/a**,.7662482,46204,32988,68861
"Wichita County, Texas",48485,Texas,.2612934,n/a**,.2329172,.1510286,.1127817,.225118,993,n/a**,952,.3545564,66883,54610,71735
"Stanly County, North Carolina",37167,North Carolina,.2611111,n/a**,.2613169,.1117552,.0954044,.1829583,1282,n/a**,1254,.1917744,66853,56704,68587
"Lynn County, Texas",48305,Texas,.2610838,n/a**,n/a**,.1867335,.1591068,.2138214,528,n/a**,n/a**,.5070326,65295,47669,78969
"West Feliciana Parish, Louisiana",22125,Louisiana,.2607362,n/a*,n/a**,.0748243,.0794968,.0678733,943,n/a*,n/a**,.4763417,85586,56070,98953
"St. Francis County, Arkansas",05123,Arkansas,.2607313,.2907801,.1917808,.0856638,.0993843,.0764458,723,753,n/a*,.6002703,48443,40064,58923
"Wicomico County, Maryland",24045,Maryland,.2602698,n/a**,.2410842,.0692088,.0442974,.109785,824,n/a**,748,.3702396,76908,66120,82221
"Hampton city, Virginia",51650,Virginia,.2601718,.2707865,.2287234,.0662709,.0725553,.0625423,729,743,703,.6276336,74653,72116,78336
"Scott County, Arkansas",05127,Arkansas,.2600733,n/a**,.2600733,.1003685,.0671882,.2783951,613,n/a**,613,.156515,46067,70233,43437
"Ripley County, Missouri",29181,Missouri,.2596154,n/a**,.2596154,.1447281,.1426903,.1838565,834,n/a**,834,.049532,46280,39262,46449
"Ashley County, Arkansas",05003,Arkansas,.2594841,n/a*,.2638437,.0780202,.0597874,.1171961,829,n/a*,826,.3176616,59845,33834,70400
"Jefferson Davis Parish, Louisiana",22053,Louisiana,.2594547,n/a*,.2584054,.0813807,.069004,.125948,821,n/a*,837,.2186317,65425,40795,72229
"Union County, Tennessee",47173,Tennessee,.259375,n/a**,.259375,.1098218,.1117201,.0589928,1073,n/a**,1073,.0376129,61863,82344,61091
"Stephens County, Oklahoma",40137,Oklahoma,.259362,n/a**,.2601969,.134891,.1198043,.1961453,1063,n/a**,1074,.1985245,63675,57759,64709
"Sampson County, North Carolina",37163,North Carolina,.2593176,.3409091,.2720157,.1572561,.1054652,.2113516,447,n/a*,433,.490116,58515,44488,68170
"Miller County, Arkansas",05091,Arkansas,.2592593,n/a*,.2576923,.0942852,.0840783,.1165151,795,n/a*,795,.3152713,59733,37971,69514
"Calhoun County, West Virginia",54013,West Virginia,.2592593,n/a**,.2592593,.0572057,.0584655,.0144231,n/a*,n/a**,n/a*,.0285127,50297,41447,50453
"Bulloch County, Georgia",13031,Georgia,.2591575,n/a**,.2406015,.1293829,.0949656,.1880131,1313,n/a**,1305,.3651734,61191,53716,64889
"Sequoyah County, Oklahoma",40135,Oklahoma,.2588513,n/a*,.2624886,.190317,.1487575,.2598808,1247,n/a*,1205,.3754106,52371,52809,52178
"Pawnee County, Kansas",20145,Kansas,.2588235,n/a**,.2588235,.0956054,.0903408,.137987,n/a*,n/a**,n/a*,.1586966,62633,31880,65369
"Petersburg city, Virginia",51730,Virginia,.2588134,.260262,n/a**,.1235955,.1206816,.1240728,883,880,n/a**,.8493081,53064,50025,68871
"Allen County, Kansas",20001,Kansas,.2587601,n/a**,.2589532,.0514855,.0474695,.0885029,2173,n/a**,2173,.0991558,54789,32629,56751
"McMinn County, Tennessee",47107,Tennessee,.2585635,n/a**,.2599217,.1056129,.0997469,.1545341,1450,n/a**,1460,.1078733,58406,60232,58221
"Cotton County, Oklahoma",40033,Oklahoma,.2580645,n/a**,.2580645,.1473206,.1197263,.2373512,n/a*,n/a**,n/a*,.2400137,61070,44809,64761
"Saluda County, South Carolina",45081,South Carolina,.2577963,n/a**,.1586207,.1328943,.0793773,.2077798,862,n/a**,n/a*,.4172782,60021,42727,68768
"McDuffie County, Georgia",13189,Georgia,.2577319,n/a**,.2413793,.1206978,.1004874,.1439494,1018,n/a**,n/a*,.4647868,55341,42643,65412
"Palo Pinto County, Texas",48363,Texas,.257388,n/a**,.2583497,.1949608,.182122,.2336263,989,n/a**,977,.2495095,66155,52760,69154
"Fairfield County, South Carolina",45039,South Carolina,.2573018,.2723404,n/a*,.1049089,.099634,.1081433,803,733,n/a*,.6183027,55357,45965,68740
"Calhoun County, South Carolina",45017,South Carolina,.2572944,n/a**,n/a*,.0929033,.0762669,.1124402,985,n/a**,n/a*,.460206,61193,48931,70327
"Upshur County, West Virginia",54097,West Virginia,.2568681,n/a**,.2572614,.0739841,.0721092,.1180626,495,n/a**,495,.0408946,57801,158602,56209
"Hidalgo County, Texas",48215,Texas,.2568514,.2577425,n/a**,.3221908,.0922129,.335521,1379,1371,n/a**,.9442654,58371,56589,76041
"McCulloch County, Texas",48307,Texas,.2563177,n/a**,n/a*,.2064435,.1818372,.2437242,513,n/a**,n/a*,.3949361,58812,53018,61476
"Roane County, West Virginia",54087,West Virginia,.2560976,n/a**,.2560976,.0495512,.0483608,.0857788,543,n/a**,543,.0315977,53771,46641,53926
"Jasper County, South Carolina",45053,South Carolina,.2559188,.2142857,n/a*,.15618,.0566397,.2313214,1069,900,n/a*,.5720766,63279,43334,81819
"Jasper County, Texas",48241,Texas,.2558952,n/a**,.2466568,.1754148,.1644334,.2092475,797,n/a**,766,.2547739,64222,49461,67914
"Pickens County, South Carolina",45077,South Carolina,.2557966,n/a**,.2555781,.0862939,.0796857,.1243498,1555,n/a**,1561,.1430069,66080,47986,68370
"Baker County, Florida",12003,Florida,.255648,n/a**,.255648,.0998657,.0924451,.1429339,670,n/a**,670,.189217,74509,51915,77002
"Oconee County, South Carolina",45073,South Carolina,.25548,n/a**,.255787,.0892964,.0712711,.1850485,1662,n/a**,1669,.1556212,74520,56280,76820
"Perquimans County, North Carolina",37143,North Carolina,.2549451,n/a**,.2550336,.1137562,.1059596,.1341132,541,n/a**,541,.2770663,62649,40768,70281
"Hickory County, Missouri",29085,Missouri,.2548262,n/a**,.2548262,.1552649,.1475447,.295082,1019,n/a**,1019,.0522118,43912,52624,43473
"Clay County, West Virginia",54015,West Virginia,.2547528,n/a**,.2557252,.0350918,.0353612,0,495,n/a**,495,.0075784,45212,80214,44910
"Lander County, Nevada",32015,Nevada,.2544379,n/a**,.2544379,.0666428,.0366639,.1195652,n/a*,n/a**,n/a*,.3592061,84729,70976,91088
"Phillips County, Arkansas",05107,Arkansas,.2544031,.285347,n/a*,.0844986,.0876721,.0828456,1019,1041,n/a*,.65495,44558,31932,64241
"Braxton County, West Virginia",54007,West Virginia,.2543641,n/a**,.2543641,.0543588,.0556092,.0104439,521,n/a**,521,.0315715,54597,33602,55251
"Allen Parish, Louisiana",22003,Louisiana,.2541857,n/a**,.2542636,.0854163,.0865775,.0808362,833,n/a**,825,.2904208,61465,46732,64902
"Pawnee County, Oklahoma",40117,Oklahoma,.2541322,n/a**,.252588,.1548073,.126191,.2499335,537,n/a**,518,.2333658,61953,57773,62952
"Galax city, Virginia",51640,Virginia,.2540984,n/a**,.2540984,.1624422,.0888258,.4329359,939,n/a**,939,.2091453,53117,30445,56890
"Hardy County, West Virginia",54031,West Virginia,.2540416,n/a**,.2540416,.0458248,.0398771,.098917,392,n/a**,392,.100326,66790,123267,62518
"Brown County, Texas",48049,Texas,.2537909,n/a**,.2590759,.144597,.1410823,.1536297,1232,n/a**,1232,.2837142,69577,66000,70536
"Cross County, Arkansas",05037,Arkansas,.2536496,n/a*,.2466019,.0768767,.0787748,.0718523,350,n/a*,350,.2734784,63421,56355,65816
"Harrison County, Kentucky",21097,Kentucky,.2535658,n/a**,.2535658,.062527,.0622299,.0669528,750,n/a**,750,.0634548,61766,37545,63260
"Montague County, Texas",48337,Texas,.2534819,n/a**,.2534819,.1871906,.1699545,.2918202,1500,n/a**,1500,.1420801,68126,51056,70319
"Smith County, Texas",48423,Texas,.253278,.3678832,.2139776,.1702947,.1174701,.2464301,650,600,676,.4094376,79183,63005,87843
"Lubbock County, Texas",48303,Texas,.2532357,.3757747,.1993471,.1404784,.1285317,.1536532,480,495,434,.4759297,75106,56692,87385
"Pamlico County, North Carolina",37137,North Carolina,.2531969,n/a**,.2421384,.1037822,.0848818,.1634282,852,n/a**,783,.2578537,67503,62264,68934
"Wood County, Texas",48499,Texas,.2531095,n/a**,.252816,.1313853,.1116739,.2267708,984,n/a**,993,.1754046,70971,49283,73855
"Rowan County, North Carolina",37159,North Carolina,.2531045,n/a*,.2374458,.1216279,.0811373,.2216784,1024,n/a*,1048,.279616,65593,50004,70216
"Bledsoe County, Tennessee",47007,Tennessee,.2530121,n/a**,.2530121,.1222499,.1141829,.1921986,1125,n/a**,1125,.1205177,59740,42280,60581
"Jenkins County, Georgia",13165,Georgia,.2528302,n/a**,n/a*,.1687507,.1232963,.2236575,1509,n/a**,n/a*,.4533151,39307,24342,50116
"Orange County, Texas",48361,Texas,.2528169,n/a**,.2537097,.1357128,.1364256,.1328844,814,n/a**,800,.1934363,86537,70566,90106
"Reagan County, Texas",48383,Texas,.2524272,.2524272,n/a**,.2211203,.1823105,.2375143,n/a*,n/a*,n/a**,.7023367,79512,68319,97555
"Evans County, Georgia",13109,Georgia,.2523659,n/a*,n/a*,.1692111,.1316296,.2175676,827,n/a*,n/a*,.4374474,54026,37986,64697
"Midland County, Texas",48329,Texas,.2523399,.3339683,.1618399,.1595112,.058386,.2381107,636,790,552,.5459276,107722,82007,131129
"Williamsburg County, South Carolina",45089,South Carolina,.2522727,.2394822,n/a*,.097218,.076834,.1067593,400,385,n/a*,.6876197,44987,39395,56016
"Jones County, North Carolina",37103,North Carolina,.2522523,n/a*,.2484472,.1576572,.1425214,.1829132,722,n/a*,n/a*,.3742964,50360,37537,57838
"Lewis County, West Virginia",54041,West Virginia,.2522523,n/a**,.2522523,.0643605,.0597102,.1908127,950,n/a**,950,.0368056,57301,36787,57823
"Bates County, Missouri",29013,Missouri,.2520833,n/a**,.2520833,.0926332,.0894007,.1461538,832,n/a**,832,.0586033,67588,37958,68912
"Garvin County, Oklahoma",40049,Oklahoma,.2520833,n/a**,.2520833,.1487456,.129716,.2071713,688,n/a**,688,.2449075,63489,60351,64187
"San Patricio County, Texas",48409,Texas,.2520221,.2839024,n/a**,.1445913,.1048665,.1683728,967,1251,n/a**,.6160906,78550,63589,97447
"Clay County, Texas",48077,Texas,.2518519,n/a**,.2481203,.1259575,.1075929,.2918288,1159,n/a**,1217,.1022782,71797,67460,72030
"Webb County, Texas",48479,Texas,.2516129,.2518636,n/a**,.2871912,.0644071,.2954124,1522,1522,n/a**,.9646944,71396,62894,81314
"Rush County, Indiana",18139,Indiana,.2514178,n/a**,.2514178,.0976781,.0873016,.3304843,1384,n/a**,1384,.0431464,65706,51041,65947
"West Carroll Parish, Louisiana",22123,Louisiana,.2513967,n/a**,.2528409,.1374118,.1225375,.1979018,897,n/a**,895,.2122996,55983,30898,61719
"Jefferson County, Oklahoma",40067,Oklahoma,.2511848,n/a**,.2511848,.1774489,.1660297,.218726,773,n/a**,773,.2224748,60666,45884,63425
"Randolph County, North Carolina",37151,North Carolina,.2511292,n/a*,.234261,.1644278,.1380375,.2602307,809,n/a*,809,.209778,59175,45075,61767
"Hunt County, Texas",48231,Texas,.2509804,n/a**,.2370767,.1515613,.131782,.1983002,1402,n/a**,1321,.2837557,70814,44294,78441
"St. Clair County, Missouri",29185,Missouri,.2508961,n/a**,.2508961,.1236103,.1266906,.062212,1928,n/a**,1928,.0550694,51397,40113,51886
"Hampton County, South Carolina",45049,South Carolina,.2504013,.265873,.2321429,.104217,.1044487,.1040451,549,577,575,.5910857,45391,35943,57079
"Dallas County, Arkansas",05039,Arkansas,.25,n/a*,n/a*,.0645805,.0647315,.0644112,961,n/a*,n/a*,.4687457,45536,38983,51351
"Pulaski County, Georgia",13235,Georgia,.25,n/a**,n/a**,.142931,.1174359,.1819132,811,n/a**,n/a**,.4260877,58868,38812,69056
"Cochran County, Texas",48079,Texas,.25,.2428571,n/a**,.2734893,.1762415,.3278867,n/a*,n/a*,n/a**,.6394181,58478,49048,70683
"King and Queen County, Virginia",51097,Virginia,.25,n/a*,.2561983,.0654644,.0570938,.0818296,n/a*,n/a*,n/a*,.3383982,76261,71603,77776
"Ashtabula County, Ohio",39007,Ohio,.2496944,n/a**,.2506973,.1006827,.0998507,.1082145,791,n/a**,779,.1050394,65566,36751,68066
"Wayne County, Georgia",13305,Georgia,.2494867,n/a**,.2510374,.1505679,.1494921,.1536024,1308,n/a**,1308,.288304,58658,42529,63571
"Grayson County, Virginia",51077,Virginia,.2494432,n/a**,.2494432,.111164,.1049346,.1889908,915,n/a**,915,.103227,50190,29431,51322
"Scott County, Missouri",29201,Missouri,.2494244,n/a**,.2488479,.1097984,.0999653,.15888,797,n/a**,799,.1675769,61674,35250,66332
"Atascosa County, Texas",48013,Texas,.2493902,.2613122,n/a*,.1790741,.1283963,.2041015,683,683,n/a*,.6671176,72059,61765,87370
"Surry County, North Carolina",37171,North Carolina,.2492931,n/a**,.2471537,.1504608,.1130455,.3358791,716,n/a**,713,.1613428,61869,63927,61651
"Morgan County, Kentucky",21175,Kentucky,.2491803,n/a**,.2475248,.0567918,.0581645,.024948,528,n/a**,530,.0733745,49961,43950,50239
"Wise County, Virginia",51195,Virginia,.2491749,n/a**,.2491749,.1098922,.1049619,.2058824,988,n/a**,988,.0853557,52791,53397,52771
"DeSoto County, Florida",12027,Florida,.2489407,n/a*,.1194969,.191874,.1487788,.2471406,994,n/a*,n/a*,.4524294,49625,38193,56374
"Wyoming County, West Virginia",54109,West Virginia,.2488114,n/a**,.247191,.0556001,.0548949,.0797342,305,n/a**,311,.0285231,55480,68018,55181
"Mississippi County, Missouri",29133,Missouri,.2486773,n/a**,.2440191,.1480013,.1322204,.1973547,776,n/a**,808,.2853249,50405,32279,55692
"East Feliciana Parish, Louisiana",22037,Louisiana,.2486388,n/a*,.2255892,.0832444,.070888,.1009469,865,n/a*,840,.4664189,68891,53073,78792
"Darlington County, South Carolina",45031,South Carolina,.2486339,.2771739,.2518286,.1025703,.0723638,.1388675,524,420,601,.4526086,62715,40230,81201
"Dallas County, Missouri",29059,Missouri,.2481752,n/a**,.2481752,.1565132,.1581293,.1287458,972,n/a**,972,.0544021,62312,46346,63018
"Jefferson County, Ohio",39081,Ohio,.2475706,n/a**,.2476852,.0647301,.0630409,.0800876,665,n/a**,665,.0966687,61257,45815,62556
"Marion County, Illinois",17121,Illinois,.2475329,n/a**,.2475329,.0646851,.0600769,.1125807,993,n/a**,993,.0882813,60262,54511,60698
"St. Francois County, Missouri",29187,Missouri,.2475198,n/a**,.2475198,.1153447,.1075387,.2554653,1031,n/a**,1031,.0823042,59361,39631,59522
"Rutherford County, North Carolina",37161,North Carolina,.2474227,n/a**,.2467532,.113185,.0989353,.1836257,1064,n/a**,1064,.1670596,63090,54726,64432
"Roosevelt County, Montana",30085,Montana,.2473868,.287037,.1267606,.2768191,.1057509,.3629874,1165,1302,n/a*,.6564654,57792,43295,74255
"Panola County, Mississippi",28107,Mississippi,.2473532,.344086,.1860465,.1295053,.1204327,.1374938,530,518,n/a*,.5307985,53225,37894,67664
"Unicoi County, Tennessee",47171,Tennessee,.2472727,n/a**,.2472727,.1009748,.0866511,.2924217,1049,n/a**,1049,.0686093,52758,55056,52619
"Trinity County, Texas",48455,Texas,.2472648,n/a**,.2488987,.1986036,.1777347,.2747429,1289,n/a**,1289,.2163475,58110,41572,61690
"Le Flore County, Oklahoma",40079,Oklahoma,.2471686,n/a**,.2478055,.1799504,.1403218,.2808075,965,n/a**,959,.286551,54669,51829,55536
"Noble County, Oklahoma",40103,Oklahoma,.2471591,n/a**,.2282958,.0928248,.0605961,.2314946,958,n/a**,1076,.1897662,70442,51308,73268
"Okfuskee County, Oklahoma",40107,Oklahoma,.246988,n/a**,.2508361,.2361249,.1853091,.3199041,773,n/a**,800,.3870887,51384,45191,54644
"Miller County, Missouri",29131,Missouri,.2469136,n/a**,.2469136,.1029554,.0996352,.1650794,1150,n/a**,1150,.0517043,64090,43016,64960
"Knox County, Texas",48275,Texas,.2469136,n/a*,.2,.1680202,.1166095,.2366013,n/a*,n/a*,n/a*,.4178138,60846,48991,67750
"Mathews County, Virginia",51115,Virginia,.2468085,n/a*,.246696,.1198618,.0977736,.2538649,864,n/a*,864,.1429222,81363,42763,88477
"McDonald County, Missouri",29119,Missouri,.2467532,n/a**,.2408257,.1874309,.1767905,.2235614,986,n/a**,1077,.2272847,54657,53713,54841
"Franklin County, Alabama",01059,Alabama,.2466518,n/a**,.2381757,.1169396,.0776121,.2469697,773,n/a**,685,.2315197,56907,49122,58400
"Crittenden County, Arkansas",05035,Arkansas,.2465392,.2857143,n/a*,.0835634,.0566243,.1030474,535,484,n/a*,.5801488,57972,44360,75434
"Sussex County, Virginia",51183,Virginia,.2462462,.2419355,n/a*,.0997138,.0601682,.1282197,798,n/a*,n/a*,.6167707,60202,50711,73914
"Hamilton County, Florida",12047,Florida,.2461538,n/a**,.242915,.1370683,.1302353,.1478708,908,n/a**,822,.4528829,51642,40812,57679
"Osage County, Oklahoma",40113,Oklahoma,.2461369,n/a*,.2336245,.1243069,.099175,.1690543,855,n/a*,986,.3661966,64349,57312,67689
"Kaufman County, Texas",48257,Texas,.2460907,n/a**,.2423013,.1337512,.116933,.1587054,857,n/a**,852,.3631304,90256,77927,95924
"Sevier County, Tennessee",47155,Tennessee,.2456613,n/a**,.2474101,.1495874,.1263151,.3435789,1282,n/a**,1275,.1001463,71579,56928,72775
"Taliaferro County, Georgia",13265,Georgia,.245614,.2545455,n/a**,.1112492,.0836502,.1246537,n/a*,n/a*,n/a**,.6722533,49292,44925,56537
"Wilbarger County, Texas",48487,Texas,.2455696,n/a**,n/a*,.1473918,.1078618,.2024238,1008,n/a**,n/a*,.4186862,59547,51834,63207
"Worth County, Georgia",13321,Georgia,.2455574,.2280702,.315508,.1842908,.1760152,.2013554,920,n/a*,743,.3269737,61666,45860,69050
"Cooke County, Texas",48097,Texas,.2454612,n/a**,.2460733,.1437235,.1072574,.2568408,1103,n/a**,1109,.2466222,78698,54312,84015
"Lafayette County, Florida",12067,Florida,.245283,n/a**,.2468354,.1660096,.1803688,.1265823,n/a*,n/a**,n/a*,.3379646,57595,41642,61379
"Crawford County, Georgia",13079,Georgia,.2451613,n/a*,.2567568,.1301994,.1232953,.1492445,1261,n/a*,n/a*,.2673428,59937,36364,67224
"Ellis County, Oklahoma",40045,Oklahoma,.244898,n/a**,.244898,.1369033,.1362445,.1412214,n/a*,n/a**,n/a*,.1354919,65146,60068,65576
"Marshall County, West Virginia",54051,West Virginia,.2447307,n/a**,.2447307,.0673046,.063064,.1926877,410,n/a**,410,.0332822,63073,47969,63436
"Smyth County, Virginia",51173,Virginia,.2444934,n/a**,.244763,.0983563,.0937851,.1796631,956,n/a**,956,.0587318,50876,43192,51227
"Washington County, Missouri",29221,Missouri,.2444444,n/a**,.245614,.1238741,.1257867,.0740319,1180,n/a**,1180,.0576428,54810,52672,54896
"Gilmer County, West Virginia",54021,West Virginia,.2444444,n/a**,.2444444,.0961229,.0892004,.1741472,n/a*,n/a**,n/a*,.1850516,51440,32483,52598
"Dodge County, Georgia",13091,Georgia,.244168,n/a**,.2483108,.1051852,.0943659,.1286697,929,n/a**,883,.3526334,53758,35666,61371
"Wyandotte County, Kansas",20209,Kansas,.2440151,.2903089,.1894484,.1848372,.0903938,.2482571,771,760,802,.5978395,58167,49185,69067
"Scott County, Indiana",18143,Indiana,.2439336,n/a**,.2439336,.0851355,.076678,.2624647,746,n/a**,746,.0463403,60070,36693,61138
"Chautauqua County, Kansas",20019,Kansas,.2439024,n/a**,.2439024,.1280562,.1225508,.1612903,n/a*,n/a**,n/a*,.1399338,52464,41642,53962
"Harrison County, West Virginia",54033,West Virginia,.2436792,n/a**,.2430647,.0525437,.0551941,.0118197,500,n/a**,502,.05827,73744,89158,73145
"Nueces County, Texas",48355,Texas,.2436658,.2510339,.1923384,.1754045,.1120768,.2003062,1196,1200,1191,.7131004,73358,67196,85485
"Preston County, West Virginia",54077,West Virginia,.2436548,n/a**,.2431333,.0622403,.0602668,.1231884,535,n/a**,534,.0942315,65439,43342,65937
"Elk County, Kansas",20049,Kansas,.2435897,n/a**,.2435897,.0907637,.0926829,.0731707,n/a*,n/a**,n/a*,.0994847,53233,130941,47381
"Florence County, South Carolina",45041,South Carolina,.2435897,.2637363,.287844,.1145278,.0820038,.1486848,564,596,558,.4815454,67730,50737,81194
"Drew County, Arkansas",05043,Arkansas,.2434326,n/a*,.255079,.0551667,.0440525,.0771907,1026,n/a*,1085,.3372428,64337,58228,67128
"Jefferson County, Texas",48245,Texas,.243339,.2941177,.1952845,.2041731,.1062526,.2687295,831,950,754,.5941299,73960,58905,91605
"Custer County, Oklahoma",40039,Oklahoma,.2433155,n/a**,.2327935,.1335546,.1014031,.2017888,1406,n/a**,1665,.3176797,68026,51426,72979
"Montgomery County, Missouri",29139,Missouri,.243309,n/a**,.243309,.0922374,.089939,.1287879,610,n/a**,610,.0594585,57597,42504,58409
"Bastrop County, Texas",48021,Texas,.2430533,.3525641,.2163743,.2241286,.1048999,.3520938,627,763,693,.476728,78946,69376,84478
"Caddo Parish, Louisiana",22017,Louisiana,.2429564,.3119826,.1859504,.0880631,.1043111,.0753432,984,900,970,.5571972,69968,51932,90769
"Wood County, West Virginia",54107,West Virginia,.2428256,n/a**,.2425028,.0538076,.0537021,.0557656,475,n/a**,471,.0484463,63736,58473,63880
"Lincoln County, Oklahoma",40081,Oklahoma,.242278,n/a**,.2415459,.1385533,.1286881,.1843438,929,n/a**,920,.1780771,65535,69513,64944
"Bladen County, North Carolina",37017,North Carolina,.2421959,.3181818,.2515924,.1291482,.1138524,.147808,776,n/a*,693,.4525099,55229,40335,65923
"Ohio County, Kentucky",21183,Kentucky,.2420908,n/a**,.2420908,.054984,.0486158,.1599116,435,n/a**,435,.0574135,62237,39467,63189
"Mineral County, West Virginia",54057,West Virginia,.2420814,n/a**,.2363213,.0620615,.0621815,.0601966,641,n/a**,649,.0601097,61016,75348,60313
"Humphreys County, Tennessee",47085,Tennessee,.2419628,n/a**,.2419628,.0769864,.0627925,.2571429,788,n/a**,788,.0753458,61050,40702,61913
"Robertson County, Kentucky",21201,Kentucky,.2419355,n/a**,.2419355,.078679,.0837642,0,n/a*,n/a**,n/a*,.0607631,53601,29071,54610
"Doddridge County, West Virginia",54017,West Virginia,.2416667,n/a**,.2416667,.0717876,.0679045,.2054795,n/a*,n/a**,n/a*,.0481308,65148,39593,65584
"Aiken County, South Carolina",45003,South Carolina,.2415565,n/a*,.2194437,.1033445,.0940978,.12118,946,n/a*,830,.3380313,70238,54275,77535
"Southampton County, Virginia",51175,Virginia,.2411874,n/a*,.2368421,.0672895,.0564285,.0848514,478,n/a*,n/a*,.3896532,68154,56202,75444
"Shackelford County, Texas",48417,Texas,.2410714,n/a**,.2427184,.1284404,.1111903,.2327586,n/a*,n/a**,n/a*,.1456311,60781,56238,61274
"Terrell County, Georgia",13273,Georgia,.2409241,.247191,n/a*,.1670844,.1450795,.1790852,474,474,n/a*,.6439281,50725,39017,68627
"Peach County, Georgia",13225,Georgia,.2403628,.2596811,.221219,.1285307,.09315,.1580735,1174,1337,964,.5423098,63011,48637,76835
"Texas County, Oklahoma",40139,Oklahoma,.2402707,.2701299,.1692308,.1890742,.1048334,.2547535,753,943,n/a*,.5603461,60808,55848,64571
"Morehouse Parish, Louisiana",22067,Louisiana,.24,n/a*,.1846154,.0918569,.0755989,.1078384,631,n/a*,n/a*,.5067161,45813,30113,59620
"Hempstead County, Arkansas",05057,Arkansas,.2395833,n/a*,.1486486,.0914775,.0628139,.1256986,734,n/a*,n/a*,.4539419,55612,46393,61801
"Spalding County, Georgia",13255,Georgia,.2392157,n/a*,.2277328,.1402623,.1429906,.1365967,785,n/a*,680,.4148317,68860,50025,80820
"Izard County, Arkansas",05065,Arkansas,.2390671,n/a**,.238806,.0619756,.0618264,.0646617,555,n/a**,542,.0706706,54216,42163,54486
"Heard County, Georgia",13149,Georgia,.2390671,n/a**,.2390671,.1194442,.1218893,.1056257,918,n/a**,918,.1523517,58620,43966,61277
"Cibola County, New Mexico",35006,New Mexico,.2390625,.2396825,n/a*,.0912831,.0445177,.102259,794,762,n/a*,.8068871,52278,47877,64042
"San Jacinto County, Texas",48407,Texas,.2389706,n/a**,.246238,.1947149,.1739691,.2560305,808,n/a**,780,.2532647,60411,52736,62405
"Henry County, Virginia",51089,Virginia,.2387522,n/a**,.2381379,.0996567,.0892223,.1239653,971,n/a**,1010,.3016489,50970,48112,52106
"Woodward County, Oklahoma",40153,Oklahoma,.2384106,n/a**,.234767,.1175665,.095535,.21378,996,n/a**,1095,.2015728,77153,56968,79901
"Davidson County, North Carolina",37057,North Carolina,.2383846,n/a**,.2491969,.111418,.1030631,.1437617,660,n/a**,675,.1982271,65792,53498,68667
"Ouachita Parish, Louisiana",22073,Louisiana,.2381565,.3454545,.2170932,.089119,.0787805,.1030074,652,746,689,.4215725,64077,34688,85324
"Rains County, Texas",48379,Texas,.2379808,n/a**,.2379808,.1943092,.1806277,.2748676,984,n/a**,984,.1466939,71527,51092,74063
"Clarendon County, South Carolina",45027,South Carolina,.2378593,n/a*,.2469136,.1087879,.0684358,.1466905,580,n/a*,n/a*,.5227788,57912,41390,73442
