NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Powhatan County, Virginia",51145,Virginia,.0686378,n/a**,.0686378,.060263,.0562725,.1004643,546,n/a**,546,.1426688,104561,71226,107824
"Wabaunsee County, Kansas",20197,Kansas,.0685714,n/a**,.0685714,.0508325,.045186,.1183206,n/a*,n/a**,n/a*,.0783858,69670,56201,70201
"Missaukee County, Michigan",26113,Michigan,.0684932,n/a**,.0684932,.0845618,.0797267,.1621005,n/a*,n/a**,n/a*,.060354,58955,59677,58926
"Forest County, Pennsylvania",42053,Pennsylvania,.0684932,n/a**,.0808081,.0386527,.0396713,0,n/a*,n/a**,n/a*,.3300971,48275,23547,48479
"Johnson County, Nebraska",31097,Nebraska,.0683761,n/a**,.0683761,.0608717,.05285,.1196755,n/a*,n/a**,n/a*,.196086,67668,41266,71080
"Dallas County, Iowa",19049,Iowa,.0682927,n/a**,.0682927,.0327351,.032637,.0332708,467,n/a**,467,.1457652,119627,97748,123049
"Cheshire County, New Hampshire",33005,New Hampshire,.0681177,n/a**,.0669371,.0469741,.0486418,.0216692,300,n/a**,310,.0590463,80523,88103,80176
"Forsyth County, Georgia",13117,Georgia,.0678938,n/a**,.0704037,.0807628,.0540607,.1394762,508,n/a**,516,.3127139,134249,130432,135655
"Antrim County, Michigan",26009,Michigan,.0678571,n/a**,.0678571,.0611784,.0561005,.1525144,357,n/a**,357,.0532621,75224,47285,76208
"Beadle County, South Dakota",46005,South Dakota,.0678261,n/a**,.0678261,.073686,.0416847,.1800959,n/a*,n/a**,n/a*,.230786,66624,48003,69471
"Henry County, Illinois",17073,Illinois,.0677966,n/a**,.0677186,.0453562,.0397411,.1001329,911,n/a**,915,.0956421,73302,56117,74472
"Columbia County, Pennsylvania",42037,Pennsylvania,.0677534,n/a**,.0677534,.0476042,.0360227,.2031074,560,n/a**,560,.0678993,70858,102263,69962
"Elk County, Pennsylvania",42047,Pennsylvania,.0675944,n/a**,.0669331,.0285638,.0292961,0,357,n/a**,352,.0265326,65911,40613,66540
"Kootenai County, Idaho",16055,Idaho,.0675083,n/a**,.0668715,.1109077,.1058577,.1579807,1185,n/a**,1185,.093725,74659,75077,74623
"Broomfield County, Colorado",08014,Colorado,.0673367,n/a**,.0672057,.0495472,.0426467,.0717421,595,n/a**,600,.2323012,144139,146456,143594
"Morris County, New Jersey",34027,New Jersey,.0672925,.1152461,.0623535,.0532346,.0266471,.1161764,411,424,401,.2971749,154989,122826,165358
"Polk County, Iowa",19153,Iowa,.0670567,.1494662,.0614387,.0497978,.0308927,.1133448,447,n/a*,451,.2302713,87952,57966,94549
"Lancaster County, Nebraska",31109,Nebraska,.0670465,n/a**,.0645057,.0742223,.0561451,.1504514,831,n/a**,848,.1952114,84839,53654,90116
"Oconee County, Georgia",13219,Georgia,.0666667,n/a**,.0660287,.066686,.0638285,.0819535,640,n/a**,667,.1586332,122678,120972,122983
"Delaware County, Iowa",19055,Iowa,.0666667,n/a**,.0652591,.0297902,.0280584,.0780985,n/a*,n/a**,n/a*,.0342781,79350,40475,80313
"Rawlins County, Kansas",20153,Kansas,.0666667,n/a**,.0666667,.0787018,.060181,.2392157,n/a*,n/a**,n/a*,.1019185,63730,64318,63688
"Kidder County, North Dakota",38043,North Dakota,.0666667,n/a**,.0666667,.1242387,.1186368,.2137931,n/a*,n/a**,n/a*,.0587997,71731,85755,70814
"Perkins County, South Dakota",46105,South Dakota,.0666667,n/a**,.0666667,.0886475,.0784387,.2560976,n/a*,n/a**,n/a*,.0576458,75636,92136,75009
"Hall County, Texas",48191,Texas,.0666667,n/a**,n/a*,.2435683,.147343,.3627524,n/a*,n/a**,n/a*,.4438976,53651,38894,61287
"Iowa County, Wisconsin",55049,Wisconsin,.0664112,n/a**,.0664112,.037127,.0345244,.0900819,591,n/a**,591,.0472098,81477,75588,81593
"Henry County, Alabama",01067,Alabama,.0661896,n/a*,.0636704,.0983763,.0946583,.1067961,n/a*,n/a*,n/a*,.3082939,62696,41762,70563
"Lamoille County, Vermont",50015,Vermont,.0660592,n/a**,.0663616,.0495563,.0468148,.0968208,657,n/a**,657,.0547832,86436,68886,87087
"Allegheny County, Pennsylvania",42003,Pennsylvania,.0659547,.0885845,.0623435,.0374371,.0302833,.0628738,274,369,275,.2202945,91448,66769,97264
"Chester County, Pennsylvania",42029,Pennsylvania,.0656934,n/a*,.0648581,.0484365,.0387743,.084021,562,n/a*,573,.2144578,144892,126827,148520
"Stark County, North Dakota",38089,North Dakota,.0656863,n/a**,.0656716,.0897128,.0728004,.2059877,439,n/a**,465,.1266047,93757,73799,96215
"Adams County, Iowa",19003,Iowa,.0654206,n/a**,.0654206,.0576497,.0573123,.0757576,n/a*,n/a**,n/a*,.0196185,65045,41493,65450
"Bergen County, New Jersey",34003,New Jersey,.0654165,.0855012,.0493649,.069377,.042272,.1023774,496,534,435,.4498907,147611,128461,160362
"Valley County, Idaho",16085,Idaho,.0652174,n/a**,.0652174,.1141755,.1203418,.0035651,n/a*,n/a**,n/a*,.0540667,86047,37449,87429
"Lemhi County, Idaho",16059,Idaho,.0651341,n/a**,.0661479,.1172538,.1063507,.2697495,n/a*,n/a**,n/a*,.0671594,53967,59939,53780
"Windsor County, Vermont",50027,Vermont,.0649479,n/a**,.0632184,.0477089,.0460208,.0781577,436,n/a**,470,.0535323,80880,79593,80928
"St. Croix County, Wisconsin",55109,Wisconsin,.0649129,n/a**,.0649129,.0308368,.0268434,.0904585,1181,n/a**,1181,.060925,102083,54467,103960
"Keith County, Nebraska",31101,Nebraska,.0648855,n/a**,.0648855,.0796206,.0770944,.1015719,n/a*,n/a**,n/a*,.1031234,63189,47553,64570
"Decatur County, Iowa",19053,Iowa,.0648649,n/a**,.0648649,.0933367,.0961274,.0584192,n/a*,n/a**,n/a*,.0731921,56959,34513,58001
"Montour County, Pennsylvania",42093,Pennsylvania,.0646766,n/a**,.0646766,.0528321,.0522581,.059593,n/a*,n/a**,n/a*,.0866422,82546,115199,79823
"Douglas County, Missouri",29067,Missouri,.0645161,n/a**,.0645161,.1551293,.1533055,.253112,n/a*,n/a**,n/a*,.019991,51868,102707,51146
"Sumter County, Florida",12119,Florida,.0644387,n/a*,.0784369,.0712095,.0497681,.2399507,663,n/a*,702,.1503311,83298,82314,83369
"Harford County, Maryland",24025,Maryland,.064375,.1205479,.051876,.0312244,.0249804,.0500166,320,309,300,.2502496,113104,103802,115605
"Fillmore County, Nebraska",31059,Nebraska,.0643564,n/a**,.0643564,.0584806,.0504669,.2,n/a*,n/a**,n/a*,.063638,77326,48905,78274
"Broadwater County, Montana",30007,Montana,.0643087,n/a**,.0643087,.0722034,.0667384,.1656442,n/a*,n/a**,n/a*,.0560135,75505,59128,76145
"Hancock County, Iowa",19081,Iowa,.0640244,n/a**,.0640244,.0347516,.022276,.2052342,n/a*,n/a**,n/a*,.0683207,70332,40739,72065
"Merrick County, Nebraska",31121,Nebraska,.064,n/a**,.0619469,.0912993,.0814378,.2151675,n/a*,n/a**,n/a*,.0751475,67953,49941,69058
"Tazewell County, Illinois",17179,Illinois,.063728,n/a**,.0639373,.0487587,.0464945,.0856685,609,n/a**,609,.0605203,78686,98358,77980
"Maui County, Hawaii",15009,Hawaii,.0637054,.0634058,n/a**,.0634504,.063333,.0635004,449,473,n/a**,.7016383,99883,96506,105072
"Putnam County, New York",36079,New York,.063602,n/a**,.0638029,.0304429,.0274816,.0403133,543,n/a**,543,.2128519,132523,118402,135667
"Latah County, Idaho",16057,Idaho,.0633745,n/a**,.0633745,.0654721,.0641066,.0761798,299,n/a**,299,.1130237,66546,38165,69216
"Carroll County, Illinois",17015,Illinois,.0632653,n/a**,.0632653,.0607813,.0564674,.1244444,n/a*,n/a**,n/a*,.0692659,65151,54318,65616
"Mountrail County, North Dakota",38061,North Dakota,.0628743,.0940171,.0375,.1700136,.1300918,.2312824,n/a*,n/a*,n/a*,.3935665,100606,80885,107454
"Page County, Iowa",19145,Iowa,.0628141,n/a**,.0628141,.0440305,.0391859,.1075697,n/a*,n/a**,n/a*,.0895992,64066,47588,64974
"Colfax County, Nebraska",31037,Nebraska,.0627178,.043956,.0952381,.1353675,.0398453,.226551,n/a*,n/a*,n/a*,.5106403,68620,73616,65924
"Williamson County, Tennessee",47187,Tennessee,.0627154,n/a**,.0623005,.0444341,.0282342,.1277788,366,n/a**,366,.1541646,155149,139217,157691
"Richland County, Wisconsin",55103,Wisconsin,.0626118,n/a**,.0629496,.0816209,.0684162,.3120341,n/a*,n/a**,n/a*,.0540695,64330,30047,65536
"Charlevoix County, Michigan",26029,Michigan,.0625724,n/a**,.062645,.0671294,.0662995,.0797011,238,n/a**,238,.0625859,75996,61815,76556
"McCone County, Montana",30055,Montana,.0625,n/a*,.0526316,.0672316,.0325048,.3383085,n/a*,n/a*,n/a*,.1122905,68249,48615,69011
"Merrimack County, New Hampshire",33013,New Hampshire,.0624165,n/a**,.0619112,.0560944,.049727,.1310696,653,n/a**,657,.0757553,93295,120547,91954
"Rutland County, Vermont",50021,Vermont,.0620117,n/a**,.06182,.0463058,.047362,.0248538,281,n/a**,283,.0470353,71158,73594,71088
"Scott County, Iowa",19163,Iowa,.0619941,n/a**,.0612777,.056159,.0444417,.1016244,434,n/a**,440,.2002656,90210,74119,93462
"Valley County, Montana",30105,Montana,.0619469,n/a*,.0473934,.084339,.0690152,.1690265,n/a*,n/a*,n/a*,.1549993,63373,54745,64483
"Sac County, Iowa",19161,Iowa,.0618182,n/a**,.0618182,.042783,.0365467,.1588595,n/a*,n/a**,n/a*,.051214,73425,38352,74645
"McHenry County, North Dakota",38049,North Dakota,.0617978,n/a**,.0617978,.0453526,.04181,.1167883,n/a*,n/a**,n/a*,.0476352,85434,48307,86479
"Franklin County, Iowa",19069,Iowa,.0617761,n/a**,.0625,.0590115,.0253749,.2758364,n/a*,n/a**,n/a*,.1323558,71286,47514,73683
"Ozaukee County, Wisconsin",55089,Wisconsin,.0617496,n/a**,.0617496,.0265616,.0244615,.0478824,742,n/a**,742,.0852738,122526,151519,120281
"Winnebago County, Iowa",19189,Iowa,.0616883,n/a**,.0616883,.0228726,.0171865,.0829596,n/a*,n/a**,n/a*,.0853427,65281,44859,66536
"Rockingham County, New Hampshire",33015,New Hampshire,.0616768,n/a**,.0615919,.0532638,.0495983,.0954375,555,n/a**,556,.0747163,122403,133819,121772
"Sargent County, North Dakota",38081,North Dakota,.0616438,n/a**,.0616438,.0383412,.0278251,.1570513,n/a*,n/a**,n/a*,.0805785,78848,61833,80413
"Butler County, Iowa",19023,Iowa,.0615034,n/a**,.0617849,.0327629,.0335807,.01002,n/a*,n/a**,n/a*,.0344545,70812,155545,68985
"Crook County, Oregon",41013,Oregon,.0613839,n/a**,.0615213,.0699813,.0581757,.1585185,507,n/a**,507,.1179871,64440,47563,66033
"Yakima County, Washington",53077,Washington,.0612598,.075,.0399677,.1387388,.0512803,.2014249,398,282,418,.5804451,72179,63149,79239
"Hampden County, Massachusetts",25013,Massachusetts,.0612274,.0787402,.0476356,.0352347,.0363038,.0335444,431,455,369,.3864297,81547,54335,95285
"Todd County, South Dakota",46121,South Dakota,.0611111,.0611111,n/a**,.3023187,.1542289,.3150788,n/a*,n/a*,n/a**,.9206474,37044,32073,65377
"Bronx County, New York",36005,New York,.061109,.0621818,n/a**,.0794235,.0479837,.0823932,440,440,n/a**,.9124902,59664,55981,90799
